Jervis,甲Ｓ E-5-M（ボス）,6.60
Jervis,甲Ａ E-5-M（ボス）,4.85
Jervis,丙Ｓ E-5-M（ボス）,5.47
Jervis,丙Ａ E-5-M（ボス）,2.50

大東,甲Ｓ E-5-M（ボス）,8.16
大東,甲Ａ E-5-M（ボス）,4.53
大東,丙Ｓ E-5-M（ボス）,4.65
大東,丙Ａ E-5-M（ボス）,3.06

旗風,甲Ｓ E-1-F,1.20
旗風,丙Ｓ E-1-F,1.90
旗風,甲Ｓ E-1-N,2.67
旗風,丙Ｓ E-1-N,3.50

松輪,甲Ｓ E-5-M（ボス）,7.23
松輪,甲Ａ E-5-M（ボス）,4.46
松輪,丙Ｓ E-5-M（ボス）,4.75
松輪,丙Ａ E-5-M（ボス）,1.92

Luigi,甲Ｓ E-6-H（輸送）,2.38
Luigi,甲Ａ E-6-H（輸送）,1.20
Luigi,丙Ｓ E-6-H（輸送）,3.33
Luigi,甲Ｓ E-6-S（戦力）,3.98
Luigi,甲Ａ E-6-S（戦力）,1.68
Luigi,丙Ｓ E-6-S（戦力）,2.67
Luigi,丙Ａ E-6-S（戦力）,1.24

山風,甲Ｓ E-1-S,1.79
山風,丙Ｓ E-1-S,1.34
山風,甲Ｓ E-1-P（ボス）,3.33
山風,丙Ｓ E-1-P（ボス）,2.76
山風,甲Ｓ E-1-R,0.57
山風,甲Ｓ E-1-C,1.10
山風,甲Ｓ E-3-G,1.15
山風,丙Ｓ E-3-G,0.40

択捉,甲Ｓ E-2-O（ボス）,3.30
択捉,甲Ａ E-2-O（ボス）,0.82
択捉,丙Ｓ E-2-O（ボス）,3.16
択捉,甲Ｓ E-5-M（ボス）,1.86
択捉,甲Ａ E-5-M（ボス）,1.13
択捉,丙Ｓ E-5-M（ボス）,1,93
択捉,丙Ａ E-5-M（ボス）,0.83

親潮,甲Ｓ E-2-O（ボス）,4.05
親潮,甲Ａ E-2-O（ボス）,1.95
親潮,丙Ｓ E-2-O（ボス）,2.08

Commandant,甲Ｓ E-4-I（前半）,3.87
Commandant,丙Ｓ E-4-I（前半）,1.73
Commandant,甲Ｓ E-4-L,1.62
Commandant,丙Ｓ E-4-L,1.01
Commandant,甲Ｓ E-4-N（後半）,3.56
Commandant,丙Ｓ E-4-N（後半）,1.91

Aquila,甲Ｓ E-6-H（輸送）,0.52
Aquila,甲Ａ E-6-H（輸送）,0.31
Aquila,丙Ｓ E-6-H（輸送）,1.35
Aquila,丙Ａ E-6-H（輸送）,1.01
Aquila,甲Ｓ E-6-S（戦力）,0.60
Aquila,甲Ａ E-6-S（戦力）,0.43
Aquila,丙Ｓ E-6-S（戦力）,1.11
Aquila,丙Ａ E-6-S（戦力）,0.78

Pola,甲Ｓ E-6-O,2.42
Pola,丙Ｓ E-6-O,1.35
Pola,甲Ｓ E-6-P,1.32

Graf,丙Ｓ E-7-U（ボス）,2.59
Graf,丙Ａ E-7-U（ボス）,1.45

Warspite,丙Ｓ E-7-P,0.70
Warspite,丙Ｓ E-7-U（ボス）,0.81
Warspite,丙Ａ E-7-U（ボス）,0.61
