
早波,甲Ｓ E-2-P（戦力２）,3.69
早波,甲Ａ E-2-P（戦力２）,1.94
早波,丙Ｓ E-2-P（戦力２）,2.18
早波,丙Ａ E-2-P（戦力２）,1.34

Johnston,甲Ｓ E-3-Z（戦力）,4.99
Johnston,甲Ａ E-3-Z（戦力）,2.54
Johnston,丙Ｓ E-3-Z（戦力）,2.64
Johnston,丙Ａ E-3-Z（戦力）,0.88

Gotland,甲Ｓ E-3-Z（戦力）,1.35
Gotland,甲Ａ E-3-Z（戦力）,0.91
Gotland,丙Ｓ E-3-Z（戦力）,0.86
Gotland,丙Ａ E-3-Z（戦力）,1.18

岸波,甲Ｓ E-2-K（戦力１）,2.03
岸波,丙Ｓ E-2-K（戦力１）,2.19
岸波,甲Ｓ E-2-P（戦力２）,3.05
岸波,甲Ａ E-2-P（戦力２）,3.20
岸波,丙Ｓ E-2-P（戦力２）,3.43
岸波,丙Ａ E-2-P（戦力２）,1.47

涼月,甲Ｓ E-3-S（輸送）,1.25
涼月,丙Ｓ E-3-S（輸送）,0.99
涼月,甲Ｓ E-3-W,0.55

照月,甲Ｓ E-3-Z（戦力）,4.05
照月,丙Ｓ E-3-Z（戦力）,3.63
照月,甲Ａ E-3-Z（戦力）,1.70
