石垣,甲S E2-J,0.99
石垣,丙S E2-J,0.50
石垣,甲S E2-L(輸送),1.05
石垣,丙S E2-L(輸送),0.8
石垣,甲S E2-U(戦力),1.6
石垣,甲A E2-U(戦力),0.55
石垣,丙S E2-U(戦力),1.20
石垣,甲S E3-N(戦力1),0.64
石垣,丙S E3-N(戦力1),0.66
石垣,甲S E3-O,0.58
石垣,甲S E3-R(戦力2),1.72
石垣,甲A E3-R(戦力2),0.86
石垣,丙S E3-R(戦力2),1.54

Ташкент,甲S E3-R(戦力2),2.31
Ташкент,甲A E3-R(戦力2),1.19
Ташкент,丙S E3-R(戦力2),1.67

Гангут,甲S E3-R(戦力2),3.53
Гангут,甲A E3-R(戦力2),3.37
Гангут,丙S E3-R(戦力2),3.05
Гангут,丙A E3-R(戦力2),1.88

大和,甲S E2-U(戦力),2.64
大和,丙S E2-U(戦力),0.99

早波,甲S E2-U(戦力),3.22
早波,甲A E2-U(戦力),2.12
早波,丙S E2-U(戦力),3.62
早波,丙A E2-U(戦力),1.07

葛城,甲S E2-J,1.42
葛城,甲S E2-L(輸送),1.94
葛城,丙S E2-L(輸送),1.14

Fletcher,甲S E4-V(ボス),5.24
Fletcher,甲A E4-V(ボス),1.20
Fletcher,丙S E4-V(ボス),2.51
Fletcher,丁S E4-V(ボス),1.31

Iowa,甲S E-5Z(ボス2),0.40
Iowa,甲A E-5Z(ボス2),0.17
Iowa,丙S E-5Z(ボス2),1.13

Intrepid,甲S E-5Z(ボス2),0.05
Intrepid,甲A E-5Z(ボス2),0.01
Intrepid,丙S E-5Z(ボス2),0.58

秋月,甲S E1-W(ボス),3.86
秋月,丙S E1-W(ボス),1.89

照月,甲S E3-R(戦力2),5.43
照月,甲A E3-R(戦力2),1.38
照月,丙S E3-R(戦力2),3.88
